Codigo_estrato;0001 Ceramica a mano;Peso 0001;0002 Barniz Negro;Peso 0002;0003 Ceramica Pintada;Peso 003;0004 Ceramica Gris;Peso 004;0005 Ceramica de Cocina;Peso 0005;0006 Ceramica Comun;Peso 0006;0007 Mortero;Peso 0007;0008 Fusayola;Peso 0008;0009 Campaniense;Peso 0009;0010 T.S. Italica;Peso 0010;0011 Marmorata;Peso 0011;0012 T.S. Sudgalica;Peso 0012;0013 T.S. Hispanica;Peso 0013;0014 T.S. Africana;Peso 0014;0015 T.S. Meridional;Peso 0015;0016 Paredes finas;Peso 0016;0017 Cascara de huevo;Peso 0017;0018 Paleocristiana;Peso 0018;0019 Vidriada;Peso 0019;0020 Lucernas;Peso 0020;0021 Anforas;Peso 0021;0022 T.S. Aretina;Peso 0022;0023 T.S. Focense;Peso 0023;0024 T.S. Hispanica tardia;Peso 0024;0025 Lucente;Peso 0025;0026 Terracota;Peso 0026;0098 Otras ceramicas;Peso 0098;0099 Residuos;Peso 0099;0101 Tagula;Peso 0101;X1;Y1;X2;Y2;X3;Y3;X4;Y4;Z1;Z2;Z3;Z4;Nivel;Peso_total;Numero_piezas
000961;3;42.9;0;0.0;9;98.5;0;0.0;4;130.0;3;26.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;36;133.6;0;0.0;445176.67;4209852.2;445177.63;4209851.99;445177.54;4209851.57;445176.49;4209851.62;312.68;312.69;312.49;312.5;0.0;431.0;55
000962;0;0.0;0;0.0;1;7.3;0;0.0;5;87.0;22;407.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;12.8;0;0.0;0;0.0;0;0.0;0;0.0;1;11.8;1;233.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;15;50.1;0;0.0;445237.56;4209960.63;445240.45;4209961.45;445241.16;4209959.57;445238.27;4209958.76;318.18;318.16;318.21;318.18;3.0;809.4;47
000964;1;26.4;0;0.0;1;4.3;0;0.0;6;89.2;2;12.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;10;43.3;0;0.0;445176.67;4209852.2;445177.63;4209851.99;445177.54;4209851.57;445176.49;4209851.62;312.5;312.5;312.48;312.48;1.0;175.89999999999998;20
000969;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;27.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;18.8;0;0.0;445160.33;4209877.9;445160.85;4209877.84;445160.81;4209877.34;445160.23;4209877.47;314.18;314.2;314.18;314.18;0.0;45.900000000000006;5
000986;0;0.0;0;0.0;13;142.4;4;65.8;28;364.0;36;381.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;102;292.0;0;0.0;445163.52;4209889.74;445165.38;4209889.45;445165.37;4209889.26;445163.43;4209889.61;313.68;313.68;313.69;313.7;2.0;1246.1;183
001114;0;0.0;0;0.0;12;100.4;7;73.7;33;630.8;241;2986.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;5;36.1;3;20.7;9;88.5;0;0.0;0;0.0;0;0.0;3;30.0;3;11.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;580;2041.5;0;0.0;445172.17;4209889.69;445174.07;4209889.15;445172.37;4209883.44;445170.42;4209883.97;316.56;316.53;316.1;316.11;1.0;6019.3;896
001115;9;160.7;2;5.7;65;549.4;8;57.4;133;2054.9;586;9567.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;18;164.7;15;79.5;63;413.3;2;5.4;0;0.0;0;0.0;12;78.7;7;19.3;6;391.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;7.9;1226;4525.0;0;0.0;445172.17;4209889.69;445174.07;4209889.15;445172.37;4209883.44;445170.42;4209883.97;316.44;316.45;316.07;316.05;2.0;18081.1;2153
001116;1;12.0;0;0.0;2;18.5;2;8.0;4;45.7;30;385.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;11.4;0;0.0;0;0.0;0;0.0;0;0.0;1;4.0;0;0.0;1;114.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;125;233.0;0;0.0;445177.8;4201854.2;445182.57;4209852.93;445122.18;4209850.92;445177.33;4209852.1;314.88;314.92;314.85;314.73;1.0;832.2;167
001118;7;136.8;0;0.0;9;444.2;0;0.0;25;302.9;285;3948.1;2;54.0;0;0.0;1;2.0;0;0.0;0;0.0;0;0.0;6;58.3;9;38.1;24;184.4;0;0.0;0;0.0;0;0.0;10;82.1;3;11.8;0;0.0;0;0.0;0;0.0;0;0.0;1;5.0;0;0.0;0;0.0;1400;5950.0;0;0.0;445174.93;4209858.21;445177.92;4209858.33;445176.84;4209855.23;445173.94;4209855.27;315.03;315.1;314.93;314.9;1.0;11217.7;1782
001120;4;88.8;0;0.0;23;181.2;1;15.4;29;357.9;108;1318.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;24.9;3;15.8;13;61.0;2;27.6;1;1.4;0;0.0;6;43.9;0;0.0;1;121.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;200;350.0;0;0.0;445177.8;4201854.2;445182.57;4209852.93;445122.18;4209850.92;445177.33;4209852.1;314.74;314.87;314.9;314.66;2.0;2607.1;394
